country,population_growth,recent_population,carbon_emission
Angola,87.92,30809787,47.90
Antigua and Barbuda,26.68,96282,54.55
Argentina,20.68,44494502,33.74
Australia,30.44,24982688,14.03
Azerbaijan,23.5,9939771,18.20
"Bahamas, The",29.39,385635,25.56
Bangladesh,26.41,161376713,285.45
Belize,54.9,383071,40.00
Benin,67.28,11485035,422.54
Bhutan,27.64,754396,400.00
Bolivia,34.86,11353140,182.95
Botswana,37.16,2254067,81.39
Brazil,19.84,209469320,38.36
Brunei Darussalam,28.75,428960,59.75
Burkina Faso,70.15,19751466,396.81
Burundi,75.19,11175379,165.38
Cabo Verde,26.99,543764,177.27
Cambodia,33.69,16249795,643.88
Cameroon,62.54,25216261,84.07
Canada,20.79,37065084,12.81
Chad,85.24,15477727,655.17
Chile,22.07,18729166,71.78
China,11.1,1402760000,213.85
Colombia,25.31,49661056,34.71
Comoros,53.46,832322,200.00
"Congo, Dem. Rep.",78.47,84068092,91.41
"Congo, Rep.",67.69,5244363,49.20
Costa Rica,26.17,4999443,69.09
Cote d'Ivoire,52.35,25069226,57.01
Cyprus,26.08,1189262,0.98
Djibouti,33.63,958923,8.11
Dominica,2.84,71626,30.77
Dominican Republic,25.45,10627147,35.57
Ecuador,34.72,17084359,82.04
"Egypt, Arab Rep.",42.99,98423602,116.31
El Salvador,9.05,6420740,20.96
Eswatini,13.01,1136274,31.88
Ethiopia,64.93,109224410,384.27
Fiji,8.94,883490,101.23
"Gambia, The",73.03,2280092,129.17
Ghana,54.4,29767108,225.44
Grenada,8.37,111449,52.38
Guatemala,41.05,16346950,94.48
Guinea,50.65,12414292,151.68
Guinea-Bissau,56.02,1874304,113.33
Guyana,4.32,779007,56.02
Haiti,31.42,11123183,123.81
Honduras,45.83,9587523,101.40
India,28.02,1352642283,161.44
Indonesia,26.55,267670549,105.59
"Iran, Islamic Rep.",24.65,81800204,87.23
Iraq,63.56,38433604,86.18
Israel,41.24,8882800,7.16
Jordan,94.54,9965322,52.30
Kazakhstan,22.8,18276452,80.27
Kenya,60.78,51392570,110.22
Kiribati,37.25,115842,200.00
"Korea, Rep.",9.74,51585058,38.10
Kyrgyz Republic,29.08,6322800,140.90
Lebanon,78.5,6859408,77.35
Lesotho,3.72,2108327,87.18
Liberia,69.18,4818976,162.79
Libya,24.65,6678565,26.61
Luxembourg,39.34,607950,8.88
Madagascar,66.57,26262313,103.03
Malawi,62.74,18143215,94.37
Malaysia,35.93,31528033,96.53
Maldives,84.58,515704,356.52
Mali,74.28,19077755,287.94
Marshall Islands,15.09,58412,80.00
Mauritania,67.41,4403312,190.55
Mauritius,6.61,1265303,69.96
Mexico,27.59,126190782,19.35
"Micronesia, Fed. Sts.",4.87,112640,30.77
Mongolia,32.23,3170214,139.44
Montenegro,2.86,622227,64.47
Morocco,25.13,36029089,97.57
Mozambique,66.53,29496009,386.01
Myanmar,14.96,53708318,248.94
Namibia,36.43,2448300,118.04
Nepal,17.35,28095712,371.74
New Zealand,27.03,4900600,9.88
Nicaragua,27.54,6465502,35.54
Nigeria,60.18,195874685,13.03
Norway,18.28,5311916,9.62
Pakistan,49.1,212228288,90.41
Panama,37.84,4176868,90.53
Papua New Guinea,47.18,8606324,167.14
Paraguay,30.67,6956069,140.63
Peru,20.9,31989265,90.67
Philippines,36.75,106651394,92.19
Rwanda,55.06,12301969,138.89
Samoa,12.42,196128,93.33
Sao Tome and Principe,48.34,211032,180.00
Saudi Arabia,63.1,33702757,108.79
Senegal,61.82,15854324,150.74
Seychelles,19.27,96762,100.00
Sierra Leone,66.87,7650149,160.61
Singapore,39.99,5638676,12.54
Somalia,69.16,15008225,34.69
South Africa,28.52,57792520,52.59
Sri Lanka,15.4,21670000,98.44
St. Kitts and Nevis,18.95,52438,31.58
St. Lucia,16.05,181890,35.90
St. Vincent and the Grenadines,2.25,110210,56.25
Sudan,53.26,41801532,266.61
Suriname,22.3,575987,49.32
Tajikistan,46.4,9100847,294.55
Tanzania,68.1,56313444,306.78
Thailand,10.29,69428454,56.27
Togo,60.2,7889095,81.89
Tonga,5.35,103199,60.00
Trinidad and Tobago,9.68,1389841,74.31
Tunisia,19.13,11565203,44.40
Turkiye,30.2,82340090,90.26
Turkmenistan,29.56,5850902,89.69
Uganda,80.67,42729032,350.77
Uruguay,3.9,3449290,19.78
Vanuatu,58.23,292675,133.33
Vietnam,19.57,95545959,457.70
Zambia,66.59,17351714,327.07
